,0,1
257,2015-11-01,Toussaint
258,2015-12-25,Noël
259,2016-01-01,New Year's Day
260,2016-01-18,Martin Luther King Jr. Day
261,2016-02-15,Washington's Birthday
262,2016-05-30,Memorial Day
263,2016-07-04,Independence Day
264,2016-09-05,Labor Day
265,2016-10-10,Columbus Day
266,2016-11-11,Veterans Day
267,2016-11-24,Thanksgiving
268,2016-12-25,Christmas Day
269,2016-12-26,Christmas Day (Observed)
270,2016-01-01,New Year's Day
271,2016-01-02,New Year Holiday [Scotland]
272,2016-01-04,New Year Holiday [Scotland] (Observed)
273,2016-03-17,St. Patrick's Day [Northern Ireland]
274,2016-07-12,Battle of the Boyne [Northern Ireland]
275,2016-08-01,Summer Bank Holiday [Scotland]
276,2016-11-30,St. Andrew's Day [Scotland]
277,2016-12-25,Christmas Day
278,2016-12-27,Christmas Day (Observed)
279,2016-03-25,Good Friday
280,2016-03-28,Easter Monday [England/Wales/Northern Ireland]
281,2016-05-02,May Day
282,2016-05-30,Spring Bank Holiday
283,2016-08-29,Late Summer Bank Holiday [England/Wales/Northern Ireland]
284,2016-12-26,Boxing Day
285,2016-01-01,Jour de l'an
286,2016-05-01,Fête du Travail
287,2016-05-08,Armistice 1945
288,2016-07-14,Fête nationale
289,2016-11-11,Armistice 1918
290,2016-03-28,Lundi de Pâques
291,2016-05-16,Lundi de Pentecôte
292,2016-05-05,Ascension
293,2016-08-15,Assomption
294,2016-11-01,Toussaint
295,2016-12-25,Noël
296,2017-01-01,New Year's Day
297,2017-01-02,New Year's Day (Observed)
298,2017-01-16,Martin Luther King Jr. Day
299,2017-02-20,Washington's Birthday
300,2017-05-29,Memorial Day
301,2017-07-04,Independence Day
302,2017-09-04,Labor Day
303,2017-10-09,Columbus Day
304,2017-11-11,Veterans Day
305,2017-11-10,Veterans Day (Observed)
306,2017-11-23,Thanksgiving
307,2017-12-25,Christmas Day
308,2017-01-01,New Year's Day
309,2017-01-02,"New Year Holiday [Scotland], New Year's Day (Observed)"
310,2017-01-03,New Year Holiday [Scotland] (Observed)
311,2017-03-17,St. Patrick's Day [Northern Ireland]
312,2017-07-12,Battle of the Boyne [Northern Ireland]
313,2017-08-07,Summer Bank Holiday [Scotland]
314,2017-11-30,St. Andrew's Day [Scotland]
315,2017-12-25,Christmas Day
316,2017-04-14,Good Friday
317,2017-04-17,Easter Monday [England/Wales/Northern Ireland]
318,2017-05-01,May Day
319,2017-05-29,Spring Bank Holiday
320,2017-08-28,Late Summer Bank Holiday [England/Wales/Northern Ireland]
321,2017-12-26,Boxing Day
322,2017-01-01,Jour de l'an
323,2017-05-01,Fête du Travail
324,2017-05-08,Armistice 1945
325,2017-07-14,Fête nationale
326,2017-11-11,Armistice 1918
327,2017-04-17,Lundi de Pâques
328,2017-06-05,Lundi de Pentecôte
329,2017-05-25,Ascension
330,2017-08-15,Assomption
331,2017-11-01,Toussaint
332,2017-12-25,Noël
333,2018-01-01,New Year's Day
334,2018-01-15,Martin Luther King Jr. Day
335,2018-02-19,Washington's Birthday
336,2018-05-28,Memorial Day
337,2018-07-04,Independence Day
338,2018-09-03,Labor Day
339,2018-10-08,Columbus Day
340,2018-11-11,Veterans Day
341,2018-11-12,Veterans Day (Observed)
342,2018-11-22,Thanksgiving
343,2018-12-25,Christmas Day
344,2018-01-01,New Year's Day
345,2018-01-02,New Year Holiday [Scotland]
346,2018-03-17,St. Patrick's Day [Northern Ireland]
347,2018-03-19,St. Patrick's Day [Northern Ireland] (Observed)
348,2018-07-12,Battle of the Boyne [Northern Ireland]
349,2018-08-06,Summer Bank Holiday [Scotland]
350,2018-11-30,St. Andrew's Day [Scotland]
351,2018-12-25,Christmas Day
352,2018-03-30,Good Friday
353,2018-04-02,Easter Monday [England/Wales/Northern Ireland]
354,2018-05-07,May Day
355,2018-05-28,Spring Bank Holiday
356,2018-08-27,Late Summer Bank Holiday [England/Wales/Northern Ireland]
357,2018-12-26,Boxing Day
358,2018-01-01,Jour de l'an
359,2018-05-01,Fête du Travail
360,2018-05-08,Armistice 1945
361,2018-07-14,Fête nationale
362,2018-11-11,Armistice 1918
363,2018-04-02,Lundi de Pâques
364,2018-05-21,Lundi de Pentecôte
365,2018-05-10,Ascension
366,2018-08-15,Assomption
367,2018-11-01,Toussaint
368,2018-12-25,Noël
369,2019-01-01,New Year's Day
370,2019-01-21,Martin Luther King Jr. Day
371,2019-02-18,Washington's Birthday
372,2019-05-27,Memorial Day
373,2019-07-04,Independence Day
374,2019-09-02,Labor Day
375,2019-10-14,Columbus Day
376,2019-11-11,Veterans Day
377,2019-11-28,Thanksgiving
378,2019-12-25,Christmas Day
379,2019-01-01,New Year's Day
380,2019-01-02,New Year Holiday [Scotland]
381,2019-03-17,St. Patrick's Day [Northern Ireland]
382,2019-03-18,St. Patrick's Day [Northern Ireland] (Observed)
383,2019-07-12,Battle of the Boyne [Northern Ireland]
384,2019-08-05,Summer Bank Holiday [Scotland]
385,2019-11-30,St. Andrew's Day [Scotland]
386,2019-12-25,Christmas Day
387,2019-04-19,Good Friday
388,2019-04-22,Easter Monday [England/Wales/Northern Ireland]
389,2019-05-06,May Day
390,2019-05-27,Spring Bank Holiday
391,2019-08-26,Late Summer Bank Holiday [England/Wales/Northern Ireland]
392,2019-12-26,Boxing Day
393,2019-01-01,Jour de l'an
394,2019-05-01,Fête du Travail
395,2019-05-08,Armistice 1945
396,2019-07-14,Fête nationale
397,2019-11-11,Armistice 1918
398,2019-04-22,Lundi de Pâques
399,2019-06-10,Lundi de Pentecôte
400,2019-05-30,Ascension
401,2019-08-15,Assomption
402,2019-11-01,Toussaint
403,2019-12-25,Noël
404,2020-01-01,New Year's Day
405,2020-01-20,Martin Luther King Jr. Day
406,2020-02-17,Washington's Birthday
407,2020-05-25,Memorial Day
408,2020-07-04,Independence Day
409,2020-07-03,Independence Day (Observed)
410,2020-09-07,Labor Day
411,2020-10-12,Columbus Day
412,2020-11-11,Veterans Day
413,2020-11-26,Thanksgiving
414,2020-12-25,Christmas Day
415,2020-01-01,New Year's Day
416,2020-01-02,New Year Holiday [Scotland]
417,2020-03-17,St. Patrick's Day [Northern Ireland]
418,2020-07-12,Battle of the Boyne [Northern Ireland]
419,2020-08-03,Summer Bank Holiday [Scotland]
420,2020-11-30,St. Andrew's Day [Scotland]
421,2020-12-25,Christmas Day
422,2020-04-10,Good Friday
423,2020-04-13,Easter Monday [England/Wales/Northern Ireland]
424,2020-05-08,May Day
425,2020-05-25,Spring Bank Holiday
426,2020-08-31,Late Summer Bank Holiday [England/Wales/Northern Ireland]
427,2020-12-26,Boxing Day
428,2020-12-28,Boxing Day (Observed)
429,2020-01-01,Jour de l'an
430,2020-05-01,Fête du Travail
431,2020-05-08,Armistice 1945
432,2020-07-14,Fête nationale
433,2020-11-11,Armistice 1918
434,2020-04-13,Lundi de Pâques
435,2020-06-01,Lundi de Pentecôte
436,2020-05-21,Ascension
437,2020-08-15,Assomption
438,2020-11-01,Toussaint
439,2020-12-25,Noël
440,2021-01-01,New Year's Day
441,2021-12-31,New Year's Day (Observed)
442,2021-01-18,Martin Luther King Jr. Day
443,2021-02-15,Washington's Birthday
444,2021-05-31,Memorial Day
